issn;e_issn;title;short_title
2210-3031;2210-304X;Drug delivery letters;Drug Deliv Lett
1479-3121;1479-313X;International journal of information systems and change management;Int J Inf Syst Change Manag
2164-5515;2164-554X;Human vaccines;Hum Vaccin Immunother
2164-5698;2164-5701;GM crops;GM Crops Food
2164-6821;;The Neurodiagnostic journal;Neurodiagn J
1946-6536;1946-6544;Human gene therapy methods;Hum Gene Ther Methods
1069-3971;1552-3578;Cross;Cross Cult Res
1025-6687;;Progress in pain research and management;Prog Pain Res Manag
0951-8398;1366-5898;International journal of qualitative studies in education;Int J Qual Stud Educ
0013-189X;1935-102X;Educational researcher;Educ Res
1354-6783;1464-0708;Thinking;Think Reason
1942-4280;1942-4299;Footwear science;Footwear Sci
1748-0272;1748-0280;Wood material science;Wood Mater Sci Eng
1471-6577;;LC GC Europe;LC GC Eur
1743-9884;1743-9892;Learning;Learn Media Technol
0034-4257;1879-0704;Remote sensing of environment;Remote Sens Environ
2153-599X;2153-5981;Religion;Religion Brain Behav
2047-4873;2047-4881;European journal of preventive cardiology;Eur J Prev Cardiol
2047-2404;2047-2412;European heart journal cardiovascular Imaging;Eur Heart J Cardiovasc Imaging
2212-2672;;Journal of the Academy of Nutrition and Dietetics;J Acad Nutr Diet
1834-0806;1834-0814;International journal of multiple research approaches;Int J Mult Res Approaches
1970-1101;;Dipendenze patologiche;Dipend Patologiche
2040-2295;2040-2309;Journal of healthcare engineering;J Healthc Eng
0195-5705;;Focus;Focus
1932-8575;1932-8664;Journal of human capital;J Hum Cap
1754-9426;1754-9434;Industrial and organizational psychology;Ind Organ Psychol
2158-284X;2158-2882;International journal of clinical medicine;Int J Clin Med
1939-5841;;International journal of Hispanic psychology;Int J Hisp Psychol
0973-7359;;International journal of statistics and management system;Int J Stat Manag Syst
0278-5307;;Libertas mathematica;Lib Math
2041-8000;;European neurological journal;Eur Neurol J
1230-3429;;Topological methods in nonlinear analysis;Topol Methods Nonlinear Anal
2161-4393;2161-4407;Proceedings of;Proc Int Jt Conf Neural Netw
1543-4303;1543-4311;Language assessment quarterly;Lang Assess Q
1687-952X;1687-9538;Journal of probability and statistics;J Probab Stat
0957-1264;1469-9672;Journal of wine research;J Wine Res
2090-3154;2090-3162;Genetics research international;Genet Res Int
2008-2010;2008-322X;Journal of ophthalmic;J Ophthalmic Vis Res
2008-3289;2008-4447;Iranian journal of microbiology;Iran J Microbiol
1918-2805;1918-2813;Gastroenterology research;Gastroenterology Res
2072-1439;2077-6624;Journal of thoracic disease;J Thorac Dis
2222-3959;2227-4898;International journal of ophthalmology;Int J Ophthalmol
2233-601X;2093-6516;The Korean journal of thoracic and cardiovascular surgery;Korean J Thorac Cardiovasc Surg
2090-2743;2090-2751;Anatomy research international;Anat Res Int
2090-3057;2090-3065;Journal of pathogens;J Pathog
2090-6447;2090-6455;Case reports in dentistry;Case Rep Dent
2090-6625;2090-6633;Case reports in infectious diseases;Case Rep Infect Dis
0097-8507;1535-0665;Language;Language
0362-4021;1573-3386;Group;Group
1608-9685;;The South African journal of psychiatry;S Afr J Psychiatr
0219-581X;1793-5350;International journal of nanoscience;Int J Nanosci
1542-5983;1542-5991;Journal of pelvic medicine;J Pelvic Med Surg
1741-1645;1759-779X;International journal of therapy and rehabilitation;Int J Ther Rehabil
1516-8484;1806-0870;Revista brasileira de hematologia e hemoterapia;Rev Bras Hematol Hemoter
0021-8731;;Journal of American Indian education;J Am Indian Educ
1351-0754;1365-2389;European journal of soil science;Eur J Soil Sci
1880-9693;1880-8190;Inflammation and regeneration;Inflamm Regen
1754-7318;1754-7326;The botulinum journal;Botulinum J
1876-3820;1876-3839;European journal of integrative medicine;Eur J Integr Med
2040-1116;2040-1124;Journal of diabetes investigation;J Diabetes Investig
1759-0876;1759-0884;Wiley interdisciplinary reviews;Wiley Interdiscip Rev Comput Mol Sci
0973-6883;2213-3453;Journal of clinical and experimental hepatology;J Clin Exp Hepatol
1877-9123;1877-9131;Recent patents on nanomedicine;Recent Pat Nanomed
1738-1584;1738-1991;Smart structures and systems;Smart Struct Syst
1023-5809;1607-7946;Nonlinear processes in geophysics;Nonlinear Process Geophys
0022-2267;1469-7742;Journal of linguistics;J Linguist
1526-6125;1878-6642;Journal of manufacturing processes;J Manuf Process
0143-9782;1467-9892;Journal of time series analysis;J Time Ser Anal
1947-5683;1947-5691;Annals of GIS;Ann GIS
2210-271X;;Computational;Comput Theor Chem
1934-2322;;Adult basic education and literacy journal;Adult Basic Educ Lit J
1947-2951;1947-296X;American journal of neuroprotection and neuroregeneration;Am J Neuroprot Neuroregen
1081-3004;1936-2706;Journal of adolescent;J Adolesc Adult Lit
1944-9399;1944-9380;Proceedings of the;Proc IEEE Conf Nanotechnol
2036-7384;2036-7376;Ageing research;Ageing Res
1047-4412;1532-768X;Journal of educational and psychological consultation;J Educ Psychol Consult
0167-806X;1573-0859;Natural language;Nat Lang Linguist Theory
0079-1636;1467-968X;Transactions of the Philological Society;Trans Philol Soc
1072-5830;;Council on Undergraduate Research quarterly;Counc Undergrad Res Q
1097-8135;;Life science journal;Life Sci J
0974-6846;0974-5645;Indian journal of science and technology;Indian J Sci Technol
1758-8251;1758-826X;International journal of applied mechanics;Int J Appl Mech
0002-9920;1088-9477;Notices of the American Mathematical Society;Not Am Math Soc
0955-2219;1873-619X;Journal of the European Ceramic Society;J Eur Ceram Soc
0951-5666;1435-5655;AI;AI Soc
0268-1064;1468-0017;Mind;Mind Lang
2193-6218;2193-6226;Medizinische Klinik;Med Klin Intensivmed Notfmed
0821-1507;;Perspectives;Perspect
1478-9876;1478-9868;International journal of environment and waste management;Int J Environ Waste Manag
2165-0799;2165-0969;Workplace health;Workplace Health Saf
2234-3806;2234-3814;Annals of laboratory medicine;Ann Lab Med
1735-3955;2251-6638;ARYA atherosclerosis;ARYA Atheroscler
1327-8835;;Australasian epidemiologist;Australas epidemiol
2233-8233;2233-8241;Clinical and experimental reproductive medicine;Clin Exp Reprod Med
2037-7452;2037-7460;European journal of translational myology;Eur J Transl Myol
0268-005X;1873-7137;Food hydrocolloids;Food Hydrocoll
1545-6129;;Medical hypotheses and research;Med Hypotheses Res
2150-1351;2150-136X;World journal for pediatric;World J Pediatr Congenit Heart Surg
1759-8885;1759-8893;Journal of pharmaceutical health services research;J Pharm Health Serv Res
1758-4000;1758-4019;US neurology;US Neurol
0075-1634;1748-6181;Italian studies;Ital Stud
2090-1380;2090-1399;Influenza research and treatment;Influenza Res Treat
1522-2527;;Journal of individual psychology;J Individ Psychol
1085-0295;1943-2739;Child;Child Adolesc Psychopharmacol News
2229-709X;2229-7138;Global journal of biochemistry;Glob J Biochem
0973-1385;0973-7537;International journal of ecological economics and statistics;Int J Ecol Econ Stat
2212-4403;2212-4411;Oral surgery;Oral Surg Oral Med Oral Pathol Oral Radiol
0716-9736;;Revista de trabajo social;Revista Trab Soc
1225-066X;;Ungyong t;Ungyong Tonggye Yongu
0375-8532;;A;AMA Arch Gen Psychiatry
2162-2183;2162-2191;Advances in biological chemistry;Adv Biol Chem
1664-2147;1664-2155;Nestle Nutrition Institute workshop series;Nestle Nutr Inst Workshop Ser
2192-2195;2192-2209;Natural products and bioprospecting;Nat Prod Bioprospect
2074-1804;2074-1812;Iranian Red Crescent medical journal;Iran Red Crescent Med J
2008-000X;2008-7209;Asian journal of sports medicine;Asian J Sports Med
2090-8865;2090-8873;Journal of analytical methods in chemistry;J Anal Methods Chem
2090-150X;2090-1518;Tuberculosis research and treatment;Tuberc Res Treat
2090-6684;2090-6692;Case reports in obstetrics and gynecology;Case Rep Obstet Gynecol
2163-0755;2163-0763;The journal of trauma and acute care surgery;J Trauma Acute Care Surg
1753-8068;1753-8076;Journal of communication in healthcare;J Commun Healthc
1878-3317;1878-3325;Journal of experimental and clinical medicine;J Exp Clin Med
1386-9795;1741-5918;Philosophical explorations;Philos Explor
1759-7684;1759-7692;Wiley interdisciplinary reviews;Wiley Interdiscip Rev Dev Biol
1548-1603;1943-7226;GIScience;GIsci Remote Sens
2211-3681;2211-369X;Journal of applied research in memory and cognition;J Appl Res Mem Cogn
0273-5024;1543-2769;Journal of teaching in physical education;J Teach Phys Educ
1936-9816;1936-9824;Museum history journal;Mus Hist J
1617-9439;1619-6597;Physik Journal;Phys J
2223-4292;2223-4306;Quantitative imaging in medicine and surgery;Quant Imaging Med Surg
0361-0365;1573-188X;Research in higher education;Res High Educ
1532-0383;1549-7887;Soil;Soil Sediment Contam
2165-8218;2165-8242;Hawai;Hawaii J Med Public Health
1751-2816;1751-2824;ISBT science series;ISBT Sci Ser
1728-0583;1728-0591;Journal of child and adolescent mental health;J Child Adolesc Ment Health
2190-0493;2190-0507;Psychological test and assessment modeling;Psychol Test Assess Model
0965-9978;1873-5339;Advances in engineering software;Adv Eng Softw
1567-4223;1873-7846;Electronic commerce research and applications;Electron Commer Res Appl
2090-5548;2090-5556;ISRN anesthesiology;ISRN Anesthesiol
1936-1653;1936-1661;Journal of LGBT youth;J LGBT Youth
0921-4526;1873-2135;Physica;Physica B Condens Matter
0921-4534;1873-2143;Physica;Physica C Supercond
1699-5880;1696-2095;Revista electronica de investigacion psicoeducativa;Rev Electron Investig Psicoeduc Psigopedag
1871-5125;;Profiles of drug substances;Profiles Drug Subst Excip Relat Methodol
1868-4300;1868-4297;Cardiovascular intervention and therapeutics;Cardiovasc Interv Ther
2247-2452;;Oral health and dental management;Oral Health Dent Manag
1947-5438;1947-5446;Annual review of chemical and biomolecular engineering;Annu Rev Chem Biomol Eng
0102-6720;2317-6326;Arquivos brasileiros de cirurgia digestiva;Arq Bras Cir Dig
2157-1724;2157-1716;Kidney international supplements;Kidney Int Suppl
0257-7941;2249-9547;Ancient science of life;Anc Sci Life
2005-6443;2092-6715;Korean journal of family medicine;Korean J Fam Med
0974-1216;0974-7818;Journal of gynecological endoscopy and surgery;J Gynecol Endosc Surg
2234-0645;2234-0653;Annals of rehabilitation medicine;Ann Rehabil Med
2234-0726;2234-2451;Knee surgery;Knee Surg Relat Res
0975-5950;2229-3418;National journal of maxillofacial surgery;Natl J Maxillofac Surg
2090-1461;2090-147X;Plastic surgery international;Plast Surg Int
2162-2590;2162-2604;Psychodynamic psychiatry;Psychodyn Psychiatry
2193-6315;2193-6323;Journal of neurological surgery;J Neurol Surg A Cent Eur Neurosurg
1348-589X;1349-0923;Journal of pesticide science;J Pestic Sci
2212-5345;2212-5353;Respiratory investigation;Respir Investig
2047-3087;;International journal of nursing knowledge;Int J Nurs Knowl
2046-9047;2046-9055;Paediatrics and international child health;Paediatr Int Child Health
1679-4508;2317-6385;Einstein;Einstein
2047-7724;2047-7732;Pathogens and global health;Pathog Glob Health
1537-2073;;International journal of MS care;Int J MS Care
1478-0887;1478-0895;Qualitative research in psychology;Qual Res Psychol
1465-3753;2042-7166;Focus on alternative and complementary therapies;Focus Altern Complement Ther
0020-4277;1573-1952;Instructional science;Instr Sci
2008-2142;2008-2150;Iranian journal of pediatrics;Iran J Pediatr
1758-5864;1758-5872;Asia;Asia Pac Psychiatry
0091-4037;1563-535X;International journal of polymeric materials;Int J Polym Mater
1752-3389;;Medicinal and aromatic plant science and biotechnology;Med Aromat Plant Sci Biotechnol
0976-5522;0976-6022;Global journal of surgery;Glob j Surg
0019-042X;1613-4141;IRAL;IRAL Int Rev Appl Linguist Lang Teach
2164-7844;2164-7860;BioResearch open access;Biores Open Access
2165-5979;2165-5987;Bioengineered;Bioengineered
1612-9059;1612-9067;Esophagus;Esophagus
1343-8875;1875-8975;Journal of visualization;J Vis
1072-0537;;Journal of constructivist psychology;J Constr Psychol
1556-9543;1556-9551;Toxin reviews;Toxin Rev
1349-0222;1880-344X;Journal of echocardiography;J Echocardiogr
1750-984X;1750-9858;International review of sport and exercise psychology;Int Rev Sport Exerc Psychol
1869-1978;1869-1986;Food digestion;Food Dig
2156-5333;2156-535X;Journal of adolescent and young adult oncology;J Adolesc Young Adult Oncol
2153-7658;2153-7933;Therapeutic hypothermia and temperature management;Ther Hypothermia Temp Manag
2156-5783;2156-5368;Journal of caffeine research;J Caffeine Res
1867-2221;1867-223X;International journal of stomatology;Int J Stomatol Occlusion Med
2048-8505;2048-8513;Clinical kidney journal;Clin Kidney J
0260-8774;;Journal of food engineering;J Food Eng
0741-9325;1538-4756;Remedial and special education;Remedial Spec Educ
1541-5988;;Practical pain management;Pract Pain Manag
1757-0972;2042-8324;Advances in dual diagnosis;Adv Dual Diagn
2035-9969;2036-282X;Journal of endometriosis;J Endometr
1474-2837;1474-2829;Social movement studies;Soc Mov Stud
0146-3373;1746-4102;Communication quarterly;Commun Q
1925-4024;1925-4032;Journal of hematological malignancies;J Hematol Malig
2247-9228;;Cognition;Cogn Brain Behav
2044-9038;2044-9046;Clinical practice;Clin Pract
1615-3375;1615-3383;Foundations of computational mathematics;Found Comut Math
2164-5329;2164-5337;World Journal of Cardiovascular Diseases;World J Cardiovasc Dis
2042-6305;2042-6313;Journal of comparative effectiveness research;J Comp Eff Res
2211-0348;2211-0356;Multiple sclerosis and related disorders;Mult Scler Relat Disord
1835-1271;;Journal of military and veterans;J Mil Veterans Health
2160-8814;2160-8822;World journal of AIDS;World J AIDS
1080-692X;;Proceedings of the;Proc Annu Boston Univ Conf Lang Dev
1860-0832;;Understanding complex systems;Underst Complex Syst
1053-4512;1538-4810;Intervention in school and clinic;Interv Sch Clin
1080-2371;1538-6899;Continuum;Continuum
1529-9716;1529-9724;Journal of bisexuality;J Bisex
1758-0846;1758-0854;Applied psychology;Appl Psychol Health Well Being
1945-760X;1945-7618;Journal of the Dermatology Nurses;J Dermatol Nurses Assoc
2192-2640;2192-2659;Advanced healthcare materials;Adv Healthc Mater
0003-486X;1939-8980;Annals of mathematics;Ann Math
2165-3445;2165-3453;Computational molecular bioscience;Comput Mol Biosci
1974-1480;;Anthropology and Philosophy;Anthropol Philos
2157-6564;2157-6580;Stem cells translational medicine;Stem Cells Transl Med
1671-5411;;Journal of geriatric cardiology;J Geriatr Cardiol
1974-5648;2035-2468;ORAL;Oral Implantol
2193-6331;2193-634X;Journal of neurological surgery;J Neurol Surg B Skull Base
2090-6862;2090-6870;Case reports in radiology;Case Rep Radiol
2090-6900;2090-6919;Case reports in surgery;Case Rep Surg
2090-696X;2090-6978;Case reports in urology;Case Rep Urol
2090-6528;2090-6536;Case reports in gastrointestinal medicine;Case Rep Gastrointest Med
2090-6722;2090-6730;Case reports in ophthalmological medicine;Case Rep Ophthalmol Med
2090-6382;2090-6390;Case reports in anesthesiology;Case Rep Anesthesiol
2090-6803;2090-6811;Case reports in pediatrics;Case Rep Pediatr
2090-6706;2090-6714;Case reports in oncological medicine;Case Rep Oncol Med
2192-8304;2192-8312;JIMD reports;JIMD Rep
2234-2400;2234-2443;Clinical endoscopy;Clin Endosc
0885-7458;1573-7640;International journal of parallel programming;Int J Parallel Program
1539-4131;;American journal of recreation therapy;Am J Recreat Ther
0872-4938;;Boletim da Sociedade Portuguesa de Hemorreologia e Microcirculacao;Bol Soc Port Hemorreol Microcirc
1745-8552;1745-8560;BioSocieties;Biosocieties
1947-3575;1947-3583;International journal of biomaterials research and engineering;Int J Biomater Res Eng
1594-3739;2037-6901;Quaderni di statistica;Quad Stat
2157-3883;2157-3891;International perspectives in psychology;Int Perspect Psychol
1386-7857;1573-7543;Cluster computing;Cluster Comput
2279-9028;2279-9036;Journal of public health research;J Public Health Res
8755-1233;;Update;Update Univ S C Dep Music
1520-5363;;Proceedings of the;Proc Int Conf Doc Anal Recognit
2165-8765;2165-8773;IEEE Pacific Visualization Symposium;IEEE Pac Vis Symp
1875-9521;1875-953X;Entertainment computing;Entertain Comput
2159-6859;2159-6867;MRS communications;MRS Commun
1948-8300;1948-8319;IIE transactions on healthcare systems engineering;IIE Trans Healthc Syst Eng
0862-7940;1572-9109;Applications of mathematics;Appl Math
0192-4036;2157-6475;International journal of comparative and applied criminal justice;Int J Comp Appl Crim Justice
1866-6892;1866-6906;Journal of infrared;J Infrared Millim Terahertz Waves
1056-6171;1537-0437;The Journal of applied poultry research;J Appl Poult Res
1697-0381;;Vigo international journal of applied linguistics;Vigo Int J Appl Linguist
2157-944X;2157-9458;Food and nutrition sciences;Food Nutr Sci
0031-8868;1568-5284;Phronesis;Phronesis
1040-0400;1572-9001;Structural chemistry;Struct Chem
2223-4683;2223-4691;Translational andrology and urology;Transl Androl Urol
1674-9782;2049-1891;Journal of animal science and biotechnology;J Anim Sci Biotechnol
1878-5158;1878-5166;Review of philosophy and psychology;Rev Philos Psychol
1793-9844;1793-9852;Nano LIFE;Nano Life
0366-3434;;Bollettino;Boll Soc Med Chir Modena
0417-8033;;Documenta Geigy;Doc Geigy Ser Chir
0433-3047;;;Gendai Igaku
1337-2629;;Boj o zdravie;Boj Zdr
0570-3123;;Antibiotics;Antibiot Chemother
0004-0517;;Archivos argentinos de enfermedades del aparato digestivo;Arch Argent Enferm Apar Dig
0016-4011;;Galenica acta;Galen Acta
0097-0131;;Compensation medicine;Compens Med
1802-968X;;Boj proti tuberkulose;Boj Tuberk
0526-8427;;Cahiers odonto;Cah Odontostomatol
0352-5651;;Bulletin;Bull Acad Serbe Sci Cl Sci Math Nat Sci Nat
0096-0160;;Clinical symposia;Clin Symp
1220-3769;;Analele Romano;An Rom Sov Ser Med Gen
0920-2676;;Folia biotheoretica;Folia Biotheor
0409-8749;;Cahiers medicaux d;Cah Med Auvergne
0409-848X;;Cahiers de pediatrie sociale;Cah Pediatr Soc
0017-0941;;Glasnik Hemijskog drustva Beograd;Glas Hem Drus Beogr
0033-3867;;Publicaciones cientificas Alter;Publ Cient Alter
0033-0507;;Progresos de patologia y clinica;Prog Patol Clin
0440-7911;;Highlights of ophthalmology;Highl Ophthalmol
0479-7876;;Pediatriia;Pediatria
0472-0601;;Orientacion medica;Orientac Med
0737-3805;;Medical education;Med Educ
1367-2223;1467-839X;Asian journal of social psychology;Asian J Soc Psychol
0018-7925;;Bulletin;Bull Sci Issue
1941-9899;1941-9902;Psychology and sexuality;Psychol Sex
1477-1535;1477-0938;Lighting research;Light Res Technol
2231-4504;2249-0736;i;Imanagers J Nurs
0036-5041;;Sauvegarde de l;Sauvegarde enfance
0375-104X;;Revista de medicina y alimentacion;Rev Med Aliment
0255-9560;;Revista de farmacologia y medicina experimental;Rev Farmacol Med Exp
0096-9664;;University of California publications in pharmacology;Univ Calif Publ Pharmacol
0324-8240;;Szpitalnictwo polskie;Szpit Pol
0301-5246;;Rivista siciliana della tubercolosi e delle malattie dell;Riv Sicil Tuberc Mal Appar Respir
0932-0776;;Zeitschrift fur Naturforschung;Z Naturforsch B J Chem Sci
1220-4757;;La Science dans la Republique populaire roumaine;Sci Repub Pop Roum
0146-6755;;Biological and Medical Research Division semiannual report;Biol Med Res Div Semiannu Rep
0557-5338;;Russian review of biology;Russ Rev Biol
0096-1817;;Recent progress in psychiatry;Recent Progr Psychiatr
0301-4088;;Trudy;Tr Inst Tuberk
0097-0662;;University of California publications in physiology;Univ Calif Publ Physiol
0370-8144;;Sanidad aeronautica;Sanid Aeronaut
1949-0194;1949-0208;International journal of research in nursing;Int J Res Nurs
0976-0784;;International journal of current chemistry;Int J Curr Chem
1301-0883;1339-3886;Eastern journal of medicine;East J Med
1669-8975;1669-8983;Actualizaciones en osteologia;Actual osteol
2049-2146;2049-2154;Contemporary hypnosis;Contemp Hypn Integr Ther
1792-345X;1792-362X;Forum of clinical oncology;Forum Clin Oncol
2079-7362;2079-7370;East Asian journal on applied mathematics;East Asian J Applied Math
2210-5433;2210-5441;Philosophy;Philos Technol
2210-2965;2210-2973;Recent patents on regenerative medicine;Recent Pat Regen Med
0163-5964;1943-5851;Computer architecture news;Comput Archit News
2327-9095;2327-9109;Applied neuropsychology;Appl Neuropsychol Adult
1001-6058;1878-0342;Journal of hydrodynamics;J Hydrodynam B
2161-783X;2161-7856;Games for health journal;Games Health J
1570-0844;2210-4968;Semantic web;Semant Web
1687-563X;1687-5648;Advances in optoelectronics;Adv Optoelectron
0890-0604;1469-1760;Artificial intelligence for engineering design;Artif Intell Eng Des Anal Manuf
0971-1198;;Trends in biomaterials;Trends Biomater Artif Organs
1541-745X;;Individual differences research;Individ Differ Res
0178-2789;1432-2315;The Visual computer;Vis Comput
1027-3956;;Revista mexicana de ciencias farmaceutica;Rev Mex Cienc Farm
1097-1424;;Allergy;Allergy Clin Immunol Int
1042-1629;1556-6501;Educational technology research and development;Educ Technol Res Dev
0065-3160;2162-5921;Advances in physical organic chemistry;Adv Phys Org Chem
1492-7713;2151-2221;Leisure;Leisure
2162-4178;2162-4186;Biological and biomedical reports;Biol Biomed Rep
1598-2327;1976-6939;Journal of cognitive science;J Cogn Sci
1948-9900;1948-9919;American journal of neuroscience;Am J Neurosci
2211-3649;2211-3657;Journal of obsessive;J Obsessive Compuls Relat Disord
2151-7614;2151-7622;International Conference on Bioinformatics and Biomedical Engineering;Int Conf Bioinform Biomed Eng
2165-9370;2165-9389;Open journal of medical psychology;Open J Med Psychol
2251-3159;2251-3140;GSTF international journal on bioinformatics;GSTF Int J Bioinforma Biotechnol
1532-0863;;The journal of nephrology social work;J Nephrol Soc Work
0264-6196;1744-5809;The British journal of visual impairment;Br J Vis Impair
1477-8211;1477-822X;Social theory;Soc Theory Health
0096-378X;;Proceedings of the South Dakota Academy of Science;Proc S Dak Acad Sci
1753-3015;1753-3023;Arts;Arts Health
1958-5586;1958-5594;Dairy science;Dairy Sci Technol
1755-3199;1755-3202;International journal of computers in healthcare;Int J Comput Healthc
0972-8236;;Current topics in genetics;Curr Top Genet
1745-2759;1745-2767;Virtual and physical prototyping;Virtual Phys Prototyp
1612-2011;1612-202X;Laser physics letters;Laser Phys Lett
2164-957X;2164-9561;Global advances in health and medicine;Glob Adv Health Med
0976-1594;;Biostatistics;Biostat Bioinforma Biomath
2253-654X;2253-8070;Revista espanola de medicina nuclear e imagen molecular;Rev Esp Med Nucl Imagen Mol
1318-2099;1581-3207;Radiology and oncology;Radiol Oncol
0778-7367;2049-3258;Archives of public health;Arch Public Health
1715-1635;1913-701X;Canadian pharmacists journal;Can Pharm J
1735-4587;2008-2215;Iranian journal of psychiatry;Iran J Psychiatry
1881-641X;1881-6428;Annals of vascular diseases;Ann Vasc Dis
2090-6544;2090-6552;Case reports in genetics;Case Rep Genet
2090-682X;2090-6838;Case reports in psychiatry;Case Rep Psychiatry
1733-134X;1899-0967;Polish journal of radiology;Pol J Radiol
2008-210X;2008-2118;Journal of dental research;J Dent Res Dent Clin Dent Prospects
2234-6163;2234-6171;Archives of plastic surgery;Arch Plast Surg
1468-0173;1741-296X;Journal of social work;J Soc Work
1871-1502;1871-1510;Cultural studies of science education;Cult Stud Sci Educ
0022-0787;2161-1920;Journal of employment counseling;J Employ Couns
2276-7096;;Journal of medicine in the tropics;J Med Trop
2224-5820;2224-5839;Annals of palliative medicine;Ann Palliat Med
0923-6082;1573-0824;Multidimensional systems and signal processing;Multidimens Syst Signal Process
2090-5688;2090-5696;ISRN ophthalmology;ISRN Ophthalmol
2166-2746;2166-2754;Journal of vacuum science and technology;J Vac Sci Technol B Nanotechnol Microelectron
1925-4008;1925-4016;Journal of biomedical graphics and computing;J Biomed Graph Comput
2162-2000;2162-2019;World journal of neuroscience;World J Neurosci
1680-8584;2071-1409;Aerosol and air quality research;Aerosol Air Qual Res
0256-1115;1975-7220;The Korean journal of chemical engineering;Korean J Chem Eng
1081-2865;1741-3028;Mathematics and mechanics of solids;Math Mech Solids
1758-8103;1758-8111;Clinical obesity;Clin Obes
0021-9517;1090-2694;Journal of catalysis;J Catal
0032-1400;1471-0676;Platinum metals review;Platin Met Rev
1687-1200;1687-1197;Applied mathematics research express;Appl Math Res Express
2162-450X;2162-4526;Open journal of immunology;Open J Immunol
2162-2493;2162-2507;Healthcare philanthropy;Healthc Philanthr
2169-897X;2169-8996;Journal of geophysical research;J Geophys Res Atmos
1927-6141;;ORNAC journal;ORNAC J
1000-6737;;Sheng Wu Wu Li Hsueh Bao;Sheng Wu Wu Li Hsueh Bao
0045-7930;1879-0747;Computers;Comput Fluids
1548-8748;1548-8756;American Society of Clinical Oncology educational book;Am Soc Clin Oncol Educ Book
2152-5080;2152-5099;International journal for uncertainty quantification;Int J Uncertain Quantif
2218-676X;2219-6803;Translational cancer research;Transl Cancer Res
0973-8010;0973-8029;Margin;Margin J Appl Econ Res
1058-9244;1875-919X;Scientific programming;Sci Program
1923-2845;1923-2853;Journal of neurology research;J Neurol Res
1319-1683;2229-340X;Journal of family;J Family Community Med
1499-9013;1932-9903;International journal of forensic mental health;Int J Forensic Ment Health
1554-6128;1554-6136;American journal of sexuality education;Am J Sex Educ
1545-6870;1545-6889;Atlantic journal of communication;Atl J Commun
2090-2972;2090-2980;Epidemiology Research International;Epidemiol Res Int
2090-570X;2090-5718;ISRN pathology;ISRN Pathol
2164-229X;;IEEE;IEEE Int Conf Comput Adv Bio Med Sci
2287-2728;2287-285X;Clinical and molecular hepatology;Clin Mol Hepatol
1138-9672;1578-2549;Archivos de prevencion de riesgos laborales;Arch Prev Riesgos Labor
1574-6267;;Australasian emergency nursing journal;Australas Emerg Nurs J
2228-7795;2228-7809;Journal of research in health sciences;J Res Health Sci
1888-9891;1989-4600;Revista de psiquiatria y salud mental;Rev Psiquiatr Salud Ment
2094-7321;2094-7313;Western Pacific surveillance and response journal;Western Pac Surveill Response J
1138-3593;1578-8865;Semergen;Semergen
1319-4534;;Saudi journal of ophthalmology;Saudi J Ophthalmol
1060-4456;;Pharmacology communications;Pharmacol Commun
1048-1885;1940-9222;Psychoanalytic dialogues;Psychoanal Dialogues
1043-7347;1099-0534;Concepts in magnetic resonance;Concepts Magn Reson
1874-7655;1875-9254;Statistical journal of the IAOS;Stat J IAOS
1488-3473;1874-6365;Journal of international migration and integration;J Int Migr Integr
1758-1923;1758-1931;Breast cancer management;Breast Cancer Manag
1078-0947;1553-5231;Discrete and continuous dynamical systems;Discrete Contin Dyn Syst Ser A
0740-817X;1573-9724;IIE transactions;IIE Trans
1927-7032;1927-7040;International journal of statistics and probability;Int J Stat Probab
1552-5996;;Proceedings of the;Proc ACM
1522-8932;1522-9092;Journal of forensic psychology practice;J Forensic Psychol Pract
0025-5718;1088-6842;Mathematics of computation;Math Comput
2093-7911;2093-7997;Safety and health at work;Saf Health Work
2160-4134;2160-4142;Psychology of popular media culture;Psychol Pop Media Cult
0259-0964;;Journal of natural history museum;J Nat Hist Mus
2211-5552;2211-5544;Current molecular imaging;Curr Mol Imaging
0036-1429;1095-7170;SIAM journal on numerical analysis;SIAM J Numer Anal
2115-4430;;Annals of economics and statistics;Ann Econ Stat
1976-4677;2093-8020;Journal of computing science and engineering;J Comput Sci Eng
2146-8346;;Journal of behavioral health;J Behav Health
2038-9922;2038-9930;Journal of public health in Africa;J Public Health Africa
1877-9468;1877-9476;Current physical chemistry;Curr Phys Chem
2047-9700;2047-9719;International journal of healthcare management;Int J Healthc Manag
2161-6620;2161-6663;American journal of molecular biology;Am J Mol Biol
2037-0504;2037-0512;HSR proceedings in intensive care;HSR Proc Intensive Care Cardiovasc Anesth
2090-6501;2090-651X;Case reports in endocrinology;Case Rep Endocrinol
2090-1925;2090-1933;Autism research and treatment;Autism Res Treat
2090-6560;2090-6579;Case reports in hematology;Case Rep Hematol
2090-6889;2090-6897;Case reports in rheumatology;Case Rep Rheumatol
2090-6846;2090-6854;Case reports in pulmonology;Case Rep Pulmonol
2090-6986;2090-6994;Case reports in vascular medicine;Case Rep Vasc Med
2230-973X;2230-9713;International journal of pharmaceutical investigation;Int J Pharm Investig
2006-0165;;African journal of infectious diseases;Afr J Infect Dis
2090-1348;2090-1356;Epilepsy research and treatment;Epilepsy Res Treat
2090-6765;2090-6773;Case reports in otolaryngology;Case Rep Otolaryngol
