issn;e_issn;title;short_title;period;publisher
0453-0853;;MEMOIRS OF THE FACULTY OF AGRICULTURE KAGOSHIMA UNIVERSITY;;Annual;KAGOSHIMA UNIV, FAC AGRICULTURE, KORIMOTO 1-21-24, KAGOSHIMA, JAPAN, 00000
0453-8889;;MEMOIRS OF THE FACULTY OF AGRICULTURE OF KINKI UNIVERSITY;;Annual;KINKI UNIV, NARA, FAC AGRIC, 3327-204 NAKA MACHI, NARA, JAPAN, 631-8505
1345-6032;;MEMOIRS OF THE FACULTY OF EDUCATION AND REGIONAL STUDIES UNIVERSITY OF FUKUI SERIES II NATURAL SCIENCE;;Annual;FUKUI UNIV, FAC EDUCATION & REGIONAL STUDIES, 9-1 BUNKYO 3-CHOME, FUKUI, JAPAN, 00000
0454-6148;;MEMOIRS OF THE FACULTY OF EDUCATION KUMAMOTO UNIVERSITY NATURAL SCIENCE;;Annual;KUMAMOTO UNIV, FAC EDUCATION, 40-1, KUROKAMI-MACHI 2-CHOME, KUMAMOTO, JAPAN, KUMAMOTOKEN, 860, 00000
1342-9272;;MEMOIRS OF THE FACULTY OF EDUCATION SHIGA UNIVERSITY NATURAL SCIENCE;;Annual;SHIGA UNIV, FAC EDUCATION, OTSU, JAPAN, 00000
1346-3306;;MEMOIRS OF THE FACULTY OF FISHERIES SCIENCES HOKKAIDO UNIVERSITY;;Semiannual;HOKKAIDO UNIV, GRADUATE SCH FISHERIES SCIENCES, 3-1-1, MINATO-CHO, HAKODATE, JAPAN, 00000
0454-7802;;MEMOIRS OF THE FACULTY OF SCIENCE KYOTO UNIVERSITY SERIES OF BIOLOGY;;Irregular;KYOTO UNIV, FAC SCIENCE, OIWAKECHO, KITASHIRAKAWA, KYOTO, JAPAN, 00000
0916-7390;;MEMOIRS OF THE FACULTY OF SCIENCE KYUSHU UNIVERSITY SERIES D EARTH AND PLANETARY SCIENCES;;Irregular;KYUSHU UNIV, FAC SCIENCES, 6-10-1 HAKOZAKI, FUKUOKA, JAPAN, 00000
1373-4881;;MEMOIRS OF THE GEOLOGICAL SURVEY OF BELGIUM;;Irregular;SERVICE GEOLOGIQUE BELGIQUE, RUE JENNER, 13, BRUXELLES, BELGIUM, B-1000
0441-1978;;MEMOIRS OF THE HONG KONG NATURAL HISTORY SOCIETY;;Irregular;HONG KONG NATURAL HISTORY SOC, GPO BOX 4369, HONG KONG, PEOPLES R CHINA, 00000
0079-8835;;MEMOIRS OF THE QUEENSLAND MUSEUM;MEM. QUEENSL. MUS.;Irregular;QUEENSLAND MUSEUM, P. O. BOX 3300, SOUTH BRISBANE, AUSTRALIA, QLD, 4101
1881-8064;;MEMOIRS OF THE RESEARCH FACULTY OF AGRICULTURE HOKKAIDO UNIVERSITY;;Semiannual;HOKKAIDO UNIV, FAC AGRICULTURE, NISHI-9-CHOME, KITA 9 JO, SAPPORO, JAPAN, 00000
0379-3540;;MEMOIRS OF THE ZOOLOGICAL SURVEY OF INDIA;;Annual;ZOOLOGICAL SURVEY INDIA, PUBLICATION PRODUCTION OFFICER, NIZAM PALACE OFFICE COMPLEX (13TH FLOOR), 234/4, A.J.C. BOSE ROAD, CALCUTTA, INDIA, 700 020
1971-1557;;MEMOIRS ON BIODIVERSITY;;Annual;WORLD BIODIVERSITY ASSOC ONLUS, C/O MUSEUM CIVICO STORIA NATURALE, LUNGADIGE PORTA VITTORIA 9, VERONA, ITALY, I-37129
0373-6873;;MEMORANDA SOCIETATIS PRO FAUNA ET FLORA FENNICA;;Semiannual;SOC PRO FAUNA FLORA FENNICA, ELAINMUSEO, P RAUTATIEKATU 13  PL 17, HELSINKI, FINLAND, 00000
0368-8283;;MEMORIAS DE LA REAL ACADEMIA DE CIENCIAS Y ARTES DE BARCELONA;;Irregular;REAL ACAD CIENCIAS ARTES BARCELONA, RAMBLA DE ESTUDIOS 115, BARCELONA, SPAIN, 00000
0214-2023;;MEMORIAS DEL MUSEO PALEONTOLOGICO DE LA UNIVERSIDAD DE ZARAGOZA;;Irregular;UNIV ZARAGOZA, C/PEDRO CERBUNA 12, ZARAGOZA, SPAIN, 50009
0073-9901;;MEMORIAS DO INSTITUTO BUTANTAN;MEM INST BUTANTAN;Semiannual;INST BUTANTAN, AV. VITAL BRASIL 1500, SAO PAULO, BRAZIL, SP, 05503-900
0074-0276;1678-8060;MEMORIAS DO INSTITUTO OSWALDO CRUZ;MEM INST OSWALDO CRUZ;Bimonthly;FUNDACO OSWALDO CRUZ, AV BRASIL 4365, RIO DE JANEIRO, RJ, BRAZIL, 21045-900
0392-0097;;MEMORIE DEL MUSEO CIVICO DI STORIA NATURALE DI VERONA-2 SERIE-SEZIONE SCIENZE DELLA VITA;;Irregular;MUSEO CIVICO STORIA NATURALE VERONA, LUNGADIGE PORTA VITTORIA, 9, VERONA, ITALY, 00000
0392-0089;;MEMORIE DEL MUSEO CIVICO DI STORIA NATURALE DI VERONA-SEZIONE SCIENZE DELLA TERRA;;Irregular;MUSEO CIVICO STORIA NATURALE VERONA, LUNGADIGE PORTA VITTORIA, 9, VERONA, ITALY, 00000
1971-8209;;MEMORIE DELL ASSOCIAZIONE NATURALISTICA PIEMONTESE;;Irregular;MUSEO CIVICO STORIA NATURALE-CARMAGNOLA, ASSOC NATURALISTICA PIEMONTESE, PARCO CASCINA VIGNA, VIA S FRANCESCO SALES188, CARMAGNOLA, ITALY, I-10022
0037-8747;;MEMORIE DELLA SOCIETA ENTOMOLOGICA ITALIANA;;Annual;SOC ENTOMOLOGICA ITALIANA, MUSEO CIVICO DI STORIA NATURALE, VIA BRIGATA LIGURIA 9, GENOA, ITALY, 00000
0376-2726;;MEMORIE DELLA SOCIETA ITALIANA DI SCIENZE NATURALI E DEL MUSEO CIVICO DI STORIA NATURALE DI MILANO;;Irregular;SOC ITALIANA SCIENZE NATURALI, MUSEO CIVICO STORIA NATURALE, CORSO VENEZIA 55, MILAN, ITALY, I-20121
0536-0242;;MEMORIE DESCRITTIVE DELLA CARTA GEOLOGICA D ITALIA;;Irregular;IST POLIGRAFICO E ZECCA STATO, PIAZZA VERDI 10, ROMA, ITALY, I-00198
0965-8211;1464-0686;MEMORY;MEMORY;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0090-502X;1532-5946;MEMORY & COGNITION;MEM COGNIT;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
1750-6980;1750-6999;MEMORY STUDIES;;Quarterly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
1097-184X;1552-6828;MEN AND MASCULINITIES;MEN MASC;Bimonthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
0025-9241;;MENDEL NEWSLETTER;MENDEL NEWSL;Annual;AMER PHILOSOPHICAL SOC, 105 S 5TH ST, PHILADELPHIA, USA, PA, 19106-3386
0959-9436;1364-551X;MENDELEEV COMMUNICATIONS;;Bimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
1072-3714;1530-0374;MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY;MENOPAUSE;Monthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
1755-2966;1878-0199;MENTAL HEALTH AND PHYSICAL ACTIVITY;MENT HEALTH PHYS ACT;Semiannual;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0503-1540;;MER-TOKYO;;Quarterly;SOC FRANCO-JAPONAISE D OCEANOGRAPHIE, C/O Y YAMAGUCHI, DIRECTEUR DE PUBLICATION, UNIVERSITE DES PECHES DE TOKYO,KONAN 4-5-7, TOKYO, JAPAN, 00000
0025-990X;;MERCIAN GEOLOGIST;;Quarterly;EAST MIDLANDS GEOLOGICAL SOC, C/O THE SECRETARY, ROSE COTTAGE, CHAPEL LANE, EPPERSTONE, ENGLAND, NOTTS, NG14 6AE
1618-9124;;MERCURIALE;;Annual;SCHUTZGEMEINSCHAFT LIBELLEN BADEN-WUERTTEMBERG E V-SGL, DIPL-BIOLOGE W ROSKE, KANDELSTRASSE 26, FREIBURG, GERMANY, D-79106
0026-0096;;MERKUR-DEUTSCHE ZEITSCHRIFT FUR EUROPAISCHES DENKEN;;Monthly;KLETT-COTTA VERLAG, ROTEBUHLSTRASSE 77, STUTTGART 1, GERMANY, D-7004 9
0272-930X;1535-0266;MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY;MERRILL PALMER Q (WAYNE STATE UNIV PRESS);Quarterly;WAYNE STATE UNIV PRESS, 4809 WOODWARD AVE, DETROIT, USA, MI, 48201-1309
0934-6643;;MERTENSIELLA;MERTENSIELLA;Irregular;DEUTSCHE GESELLSCHAFT HERPETOLOGIE TERRARIENKUNDE E V, C/O JORN KOHLER, HESSISCHES LANDESMUSEUM DARMSTADT, FRIEDENSPLATZ 1, DARMSTADT, GERMANY, 64283
1558-5212;;MESA SOUTHWEST MUSEUM BULLETIN;;Irregular;MESA SOUTHWEST MUSEUM, 53 N MACDONALD, MESA, USA, AZ, 85201
1332-0025;;MESO;;Quarterly;ZADRUZNA STAMPA, JAKICEVA 1, PP 910, ZAGREB, CROATIA, 10000
0398-2106;;MESOGEE;;Annual;MUSEUM HISTOIRE NATURELLE MARSEILLE, PALAIS LONGCHAMP, MARSEILLE, FRANCE, F-13004
0160-2764;;MESTER;;Annual;UNIV CALIF, DEPT SPANISH PORTUGUESE MESTER 405 HILGARD AVE, LOS ANGELES, USA, CA, 90095-1532
0026-0452;;META;META;Quarterly;PRESSES UNIV MONTREAL, PO BOX 6128, SUCCURSALE A, MONTREAL, CANADA, QUEBEC, H3C 3J7
0885-7490;1573-7365;METABOLIC BRAIN DISEASE;METAB BRAIN DIS;Quarterly;SPRINGER/PLENUM PUBLISHERS, 233 SPRING ST, NEW YORK, USA, NY, 10013
1096-7176;1096-7184;METABOLIC ENGINEERING;METAB ENG;Bimonthly;ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495
1540-4196;1557-8518;METABOLIC SYNDROME AND RELATED DISORDERS;METAB SYNDR RELAT DISORD;Monthly;MARY ANN LIEBERT, INC, 140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801
0026-0495;1532-8600;METABOLISM-CLINICAL AND EXPERIMENTAL;METABOLISM;Monthly;W B SAUNDERS CO-ELSEVIER INC, 1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899
1573-3882;1573-3890;METABOLOMICS;METABOLOMICS;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
1556-1623;1556-1631;METACOGNITION AND LEARNING;METACOGN LEARN;Tri-annual;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0026-0673;1573-8973;METAL SCIENCE AND HEAT TREATMENT;;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0793-0291;1687-5486;METAL-BASED DRUGS;MET BASED DRUGS;Bimonthly;HINDAWI PUBLISHING CORPORATION, 410 PARK AVENUE, 15TH FLOOR, #287 PMB, NEW YORK, USA, NY, 10022
1756-5901;1756-591X;METALLOMICS;METALLOMICS;Monthly;ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF
0026-0843;;METALLURGIA ITALIANA;;Monthly;ASSOC ITALIANA METALLURGIA, PIAZZALE RODOLFO MORANDI, 2, MILAN, ITALY, 20121
1073-5623;1543-1940;METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;;Monthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
1073-5615;;METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE;;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
2271-3646;;METALLURGICAL RESEARCH & TECHNOLOGY;;Bimonthly;EDP SCIENCES S A, 17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944
0026-0894;1573-8892;METALLURGIST;;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
2075-4701;;METALS;METALS (BASEL);Quarterly;MDPI AG, POSTFACH, BASEL, SWITZERLAND, CH-4005
1598-9623;2005-4149;METALS AND MATERIALS INTERNATIONAL;;Bimonthly;KOREAN INST METALS MATERIALS, KIM BLDG 6TH FLOOR, SEOCHO-DAERO 56 GIL 38, SEOCHO-GU, SEOUL, SOUTH KOREA,137-881
0543-5846;;METALURGIJA;;Quarterly;CROATIAN METALLURGICAL SOC, BERISLAVICEVA 6, ZAGREB, CROATIA
1018-6409;;METAMORPHOSIS;;Quarterly;LEPIDOPTERISTS SOC AFRICA, C/O THE HON. TREASURER, P O BOX 477, JUKSKEI PARK, SOUTH AFRICA, 2153
0026-1068;1467-9973;METAPHILOSOPHY;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1092-6488;1532-7868;METAPHOR AND SYMBOL;METAPHOR SYMB;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0936-7357;;METELENER SCHRIFTENREIHE FUER NATURSCHUTZ;;Annual;BIOLOGISCHES INST METELEN E V, SAMBERG 65, METELEN, GERMANY, D-48629
1086-9379;;METEORITICS & PLANETARY SCIENCE;METEORIT PLANET SCI;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1350-4827;1469-8080;METEOROLOGICAL APPLICATIONS;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0941-2948;1610-1227;METEOROLOGISCHE ZEITSCHRIFT;;Bimonthly;E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG, NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176
0177-7971;1436-5065;METEOROLOGY AND ATMOSPHERIC PHYSICS;;Bimonthly;SPRINGER WIEN, SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201
0943-3058;1570-0682;METHOD & THEORY IN THE STUDY OF RELIGION;;Quarterly;BRILL ACADEMIC PUBLISHERS, PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA
1387-5841;1573-7713;METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY;METHODOL COMPUT APPL PROBAB;Quarterly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
1614-1881;;METHODOLOGY-EUROPEAN JOURNAL OF RESEARCH METHODS FOR THE BEHAVIORAL AND SOCIAL SCIENCES;METHODOLOGY (GOTT);Quarterly;HOGREFE & HUBER PUBLISHERS, ROHNSWEG 25, GOTTINGEN, GERMANY, D-37085
1046-2023;1095-9130;METHODS;METHODS;Monthly;ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495
1073-2772;;METHODS AND APPLICATIONS OF ANALYSIS;;Quarterly;INT PRESS BOSTON, INC, PO BOX 43502, SOMERVILLE, USA, MA, 02143
0091-679X;;METHODS IN CELL BIOLOGY;METHODS CELL BIOL;Annual;ELSEVIER ACADEMIC PRESS INC, 525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495
2041-210X;;METHODS IN ECOLOGY AND EVOLUTION;METHODS ECOL EVOL;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0076-6879;1557-7988;METHODS IN ENZYMOLOGY;METHODS ENZYMOL;Irregular;ELSEVIER ACADEMIC PRESS INC, 525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495
0580-9517;;METHODS IN MICROBIOLOGY;;Annual;ELSEVIER ACADEMIC PRESS INC, 525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495
0026-1270;;METHODS OF INFORMATION IN MEDICINE;METHODS INF MED;Bimonthly;SCHATTAUER GMBH-VERLAG MEDIZIN NATURWISSENSCHAFTEN, HOLDERLINSTRASSE 3, STUTTGART, GERMANY, D-70174
1659-2182;;METODOS EN ECOLOGIA Y SISTEMATICA;;Tri-annual;INST CENTROAMERICANO INVESTIGACION BIOLOGIA CONSERVACION, SAN PEDRO, MONTES DE OCA, PO BOX 2398-2050, SAN JOSE, COSTA RICA, 00000
0026-1335;;METRIKA;METRIKA;Bimonthly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0026-1386;1467-999X;METROECONOMICA;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0026-1394;1681-7575;METROLOGIA;;Bimonthly;IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE
0860-8229;;METROLOGY AND MEASUREMENT SYSTEMS;;Quarterly;POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PL DEFILAD 1, WARSZAWA, POLAND, 00-901
0077-8958;;METROPOLITAN MUSEUM JOURNAL;;Annual;UNIV CHICAGO PRESS, 1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954
0026-1521;;METROPOLITAN MUSEUM OF ART BULLETIN;;Quarterly;METROPOLITAN MUSEUM ART, 1000 5TH AVENUE, C/O INST SALES, NEW YORK, USA, NY, 10028
1235-6549;;METSAHALLITUKSEN LUONNONSUOJELUJULKAISUJA SARJA A;;Irregular;METSAHALLITUS, PO BOX 94, VERNISSAKATU 4, VANTAA, TURKEY, FI-01301
1406-9954;;METSANDUSLIKUD UURIMUSED;;Annual;DE GRUYTER OPEN LTD, SOLIPSKA 14A-1, WARSAW, POLAND, 02-482
0258-5316;;METU JOURNAL OF THE FACULTY OF ARCHITECTURE;;Semiannual;MIDDLE EAST TECHNICAL UNIV, MIDDLE EAST TECHNICAL UNIV, FAC ARCHITECTURE, INONU BULVARI, ANKARA, TURKEY, 06531
0742-9797;;MEXICAN STUDIES-ESTUDIOS MEXICANOS;MEX STUD;Semiannual;UNIV CALIFORNIA PRESS, 155 GRAND AVE, SUITE 400, OAKLAND, USA, CA, 94612-3758
2226-0773;;MEZDUNARODNY ALMANAKH GUMANITARNOE PROSTRANSTVO;;Quarterly;HIGHER SCHOOL CONSULTING, TOVARISHCHENSKY SIDE STREET, 19, OFFICE 19, MOSCOW, RUSSIA, 00000
0026-7724;1080-658X;MFS-MODERN FICTION STUDIES;;Quarterly;JOHNS HOPKINS UNIV PRESS, JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363
1983-3687;;MG BIOTA;;Semimonthly;INST ESTADUAL FLORESTAS, RUA ESPIRITO SANTO, 495, BELO HORIZONTE, BRAZIL, MINAS GERAIS, 00000
0026-2005;;MICHIGAN ACADEMICIAN;MICH ACAD;Quarterly;MICHIGAN ACAD SCIENCE, ARTS LETTERS, UNIV MICHIGAN, ARGUS BUILDING II, 400 S FOURTH ST, ANN ARBOR, USA, MI, 48103-4816
0360-1846;;MICHIGAN HISTORICAL REVIEW;;Semiannual;CENTRAL MICHIGAN UNIV CLARKE HISTORICAL LIBRARY, MT PLEASANT, USA, MI, 48859
0026-2234;;MICHIGAN LAW REVIEW;MICH LAW REV;Bimonthly;MICH LAW REV ASSOC, HUTCHINS HALL 621 SOUTH STATE STREET, ANN ARBOR, USA, MI, 48109
0026-2285;1945-2365;MICHIGAN MATHEMATICAL JOURNAL;;Tri-annual;MICHIGAN MATHEMATICAL JOURNAL, UNIV MICHIGAN DEPT MATHEMATICS 3217 ANGELL HALL, ANN ARBOR, USA, MI, 48109-1003
1081-6089;;MICHIGAN PHARMACIST;;Monthly;MICHIGAN PHARMACISTS ASSOC, 815 N WASHINGTON AVE, LANSING, USA, MI, 48906
0026-2420;;MICHIGAN QUARTERLY REVIEW;MICH Q REV;Quarterly;UNIV MICHIGAN, 3032 RACKHAM BLDG, ANN ARBOR, USA, MI, 48109
1534-2581;;MICOLOGIA APLICADA INTERNATIONAL;MICOL APLICADA INT;Semiannual;MICOLOGIA APLICADA INT, 445 VASSAR AVE, BERKELEY, USA, CA, 94708
0390-0460;;MICOLOGIA ITALIANA;MICOL ITAL;Tri-annual;PATRON EDITORE S R L, VIA BADINI 12, QUARTO INFERIORE, BOLOGNA, ITALY, 00000
1750-0443;;MICRO & NANO LETTERS;MICRO NANO LETT;Monthly;INST ENGINEERING TECHNOLOGY-IET, MICHAEL FARADAY HOUSE SIX HILLS WAY STEVENAGE, HERTFORD, ENGLAND, SG1 2AY
1342-6311;1347-4405;MICROBES AND ENVIRONMENTS;MICROBES ENVIRON;Quarterly;JAPANESE SOC MICROBIAL ECOLOGY, DEPT BIORESOURCE SCIENCE, C/O DR. HIROYUKI OHTA, SEC, IBARAKI UNIV COLLEGE OF AGRICULT, AMI-MACHI, IBARAKI, JAPAN, 300-0393
1286-4579;1769-714X;MICROBES AND INFECTION;MICROBES INFECT;Monthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
1751-7907;;MICROBIAL BIOTECHNOLOGY;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1475-2859;;MICROBIAL CELL FACTORIES;MICROB CELL FACT;Irregular;BIOMED CENTRAL LTD, 236 GRAYS INN RD, FLOOR 6, LONDON, ENGLAND, WC1X 8HL
1076-6294;1931-8448;MICROBIAL DRUG RESISTANCE;MICROB DRUG RESIST;Bimonthly;MARY ANN LIEBERT, INC, 140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801
0095-3628;1432-184X;MICROBIAL ECOLOGY;MICROB ECOL;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0891-060X;1651-2235;MICROBIAL ECOLOGY IN HEALTH AND DISEASE;MICROB ECOL HEALTH DIS;Quarterly;CO-ACTION PUBLISHING, RIPVAGEN 7, JARFALLA, SWEDEN, SE-175 64
0882-4010;1096-1208;MICROBIAL PATHOGENESIS;MICROB PATHOG;Monthly;ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX
0944-5013;1618-0623;MICROBIOLOGICAL RESEARCH;MICROBIOL RES;Bimonthly;ELSEVIER GMBH, URBAN & FISCHER VERLAG, OFFICE JENA, P O BOX 100537, JENA, GERMANY, 07705
0026-2617;;MICROBIOLOGY;MICROBIOLOGY;Bimonthly;MAIK NAUKA/INTERPERIODICA/SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013-1578
0385-5600;1348-0421;MICROBIOLOGY AND IMMUNOLOGY;MICROBIOL IMMUNOL;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1092-2172;1098-5557;MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS;MICROBIOL MOL BIOL REV;Quarterly;AMER SOC MICROBIOLOGY, 1752 N ST NW, WASHINGTON, USA, DC, 20036-2904
1350-0872;1465-2080;MICROBIOLOGY-SGM;MICROBIOLOGY;Monthly;SOC GENERAL MICROBIOLOGY, MARLBOROUGH HOUSE, BASINGSTOKE RD, SPENCERS WOODS, READING, ENGLAND, BERKS, RG7 1AG
2045-8827;;MICROBIOLOGYOPEN;MICROBIOLOGYOPEN;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0026-265X;;MICROCHEMICAL JOURNAL;MICROCHEM J;Bimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0026-3672;1436-5073;MICROCHIMICA ACTA;MIKROCHIM ACTA;Bimonthly;SPRINGER WIEN, SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201
1073-9688;1549-8719;MICROCIRCULATION;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0167-9317;1873-5568;MICROELECTRONIC ENGINEERING;MICROELECTRON ENG;Monthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
1356-5362;;MICROELECTRONICS INTERNATIONAL;;Tri-annual;EMERALD GROUP PUBLISHING LIMITED, HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA
0026-2692;0959-8324;MICROELECTRONICS JOURNAL;;Monthly;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0026-2714;;MICROELECTRONICS RELIABILITY;MICROELECTRON RELIAB;Monthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
1613-4982;;MICROFLUIDICS AND NANOFLUIDICS;MICROFLUID NANOFLUIDICS;Monthly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0938-0108;1875-0494;MICROGRAVITY SCIENCE AND TECHNOLOGY;MICROGRAVITY SCI TECHNOL;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
2062-6738;;MICROLEPIDOPTERA HU;;Irregular;REGIOGRAFO INTEZET, REGIOGRAFO INTEZET, KOMLO, HUNGARY, 00000
2072-666X;;MICROMACHINES;;Quarterly;MDPI AG, POSTFACH, BASEL, SWITZERLAND, CH-4005
0968-4328;1878-4291;MICRON;MICRON;Bimonthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
0026-279X;;MICRONESICA;MICRONESICA;Semiannual;UNIV GUAM PRESS, GRADUATE SCHOOL & RESEARCH UOG STATION, MANGILAO, USA, GUAM, 96923
0026-2803;;MICROPALEONTOLOGY;MICROPALEONTOLOGY;Bimonthly;MICRO PRESS, 6530 KISSENA BLVD, FLUSHING, USA, NY, 11367
1387-1811;;MICROPOROUS AND MESOPOROUS MATERIALS;MICROPOROUS MESOPOROUS MATER;Monthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0141-9331;1872-9436;MICROPROCESSORS AND MICROSYSTEMS;MICROPROCESS MICROSYST;Bimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0026-282X;;MICROSCOPE;MICROSCOPE;Quarterly;MICROSCOPE PUBLICATIONS LTD, 2820 SOUTH MICHIGAN AVE, CHICAGO, USA, IL, 60616
0022-0744;1477-9986;MICROSCOPY;J ELECTRON MICROSC (TOKYO);Bimonthly;OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP
2043-0639;;MICROSCOPY AND ANALYSIS;MICROSC ANAL (AM ED);Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
