title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
Revista De Cercetare Si Interventie Sociala;;1583-3410;1584-5397;;;QUA;;;;
Revista De Chimie;;0034-7752;;;;MON;;;;
Revista De Ciencia Politica;;0716-1417;0718-090X;;;SEM;;;;
Revista De Ciencias Farmaceuticas Basica E Aplicada;;1808-4532;;;;TRI;;;;
Revista De Critica Literaria Latinoamericana;;0252-8843;;;;SEM;;;;
Revista De Dialectologia Y Tradiciones Populares;Rev Dialoctol Tradiciones Pop (Madrid);0034-7981;;;;SEM;;;;
Revista De Ecologia Latinoamericana;;1012-2494;;;;TRI;;;;
Revista De Economia Aplicada;;1133-455X;;;;TRI;;;;
Revista De Economia Mundial;;1576-0162;;;;SEM;;;;
Revista De Educacion;;0034-8082;1988-592X;;;QUA;;;;
Revista De Estudios Hispanicos;;0034-818X;;;;TRI;;;;
Revista De Estudios Politicos;;0048-7694;1885-6675;;;QUA;;;;
Revista De Estudios Sociales;;0123-885X;1900-5180;;;TRI;;;;
Revista De Etnografie Si Folclor-Journal Of Ethnography And Folklore;;0034-8198;;;;SEM;;;;
Revista De Etologia;;1517-2805;;;;SEM;;;;
Revista De Filologia Espanola;;0210-9174;1988-8538;;;SEM;;;;
Revista De Filosofia Aurora;;0104-4443;1980-5934;;;SEM;;;;
Revista De Geografia Norte Grande;;0718-3402;;;;SEM;;;;
Revista De Geologia-Fortaleza;;0103-2410;;;;SEM;;;;
Revista De Hispanismo Filosofico;;1136-8071;;;;ANN;;;;
Revista De Historia Da Sociedade E Da Cultura;;1645-2259;;;;ANN;;;;
Revista De Historia Economica;;0212-6109;;;;TRI;;;;
Revista De Historia Industrial;;1132-7200;;;;SEM;;;;
Revista De Indias;Rev Indias;0034-8341;;;;TRI;;;;
Revista De Investigacion Clinica;Rev Invest Clin;0034-8376;;;;BIM;;;;
Revista De Investigacion Marina;;1988-818X;;;;IRR;;;;
Revista De Investigacion Y Desarrollo Pesquero;;0325-6375;;;;IRR;;;;
Revista De Investigacion-Caracas;;0798-0329;;;;SEM;;;;
Revista De Investigaciones Agropecuarias;;0325-8718;;;;TRI;;;;
Revista De Investigaciones Marinas;Rev Investig Mar;0252-1962;;;;TRI;;;;
Revista De Investigaciones Veterinarias Del Peru;;1682-3419;1609-9117;;;SEM;;;;
Revista De La Academia Canaria De Ciencias;;1130-4723;;;;SEM;;;;
Revista De La Academia Colombiana De Ciencias Exactas Fisicas Y Naturales;;0370-3908;;;;QUA;;;;
Revista De La Asociacion Geologica Argentina;;0004-4822;;;;QUA;;;;
Revista De La Construccion;;0718-915X;;;;TRI;;;;
Revista De La Facultad De Agronomia De La Universidad Del Zulia;;0378-7818;1690-9763;;;QUA;;;;
Revista De La Facultad De Agronomia Universidad Nacional De La Plata;;0041-8676;;;;SEM;;;;
Revista De La Facultad De Ciencias Agrarias;;1853-8665;;;;SEM;;;;
Revista De La Real Academia De Ciencias Exactas Fisicas Y Naturales Serie A-Matematicas; Fisicas Y Naturales - Serie A: Matematicas;1578-7303;1579-1505;;;SEM;;;Springer;
Revista De La Sociedad Entomologica Argentina;;0373-5680;;;;SEM;;;;
Revista De La Sociedad Geologica De Espana;;0214-2708;;;;SEM;;;;
Revista De La Societat Paleontologica D Elx Seccion Paleontologica;;0370-3908;;;;IRR;;;;
Revista De La Societat Paleontologica D Elx Seccion Vertebrados Actuales;;1576-9550;;;;IRR;;;;
Revista De La Union Matematica Argentina;;0041-6932;1669-9637;;;SEM;;;;
Revista De La Universidad Del Valle De Guatemala;;1607-5706;;;;ANN;;;;
Revista De Letras;;0101-3505;1981-7886;;;SEM;;;;
Revista De Literatura;;0034-849X;1988-4192;;;SEM;;;;
Revista De Metalurgia;;0034-8570;1988-4222;;;BIM;;;;
Revista De Nefrologia Dialisis Y Trasplante; Dialisis Y Transplante;0326-3428;;;;QUA;;;;
Revista De Neurologia;Rev Neurol;0210-0010;1576-6578;;;;;;;
Revista De Nutricao-Brazilian Journal Of Nutrition;;1415-5273;;;;BIM;;;;
Revista De Occidente;Rev Occidente;0034-8635;;;;MON;;;;
Revista De Patologia Tropical;;0301-0406;;;;SEM;;;;
Revista De Psicodidactica;;1136-1034;;;;SEM;;;;
Revista De Psicologia Del Deporte;;1132-239X;;;;SEM;;;;
Revista De Psicologia Social;;0213-4748;1579-3680;;;TRI;;;;
Revista De Psiquiatria Clinica;;0101-6083;1806-938X;;;QUA;;;;
Revista De Psiquiatria Y Salud Mental;Rev Psiquiatr Salud Ment;1888-9891;1989-4600;;;QUA;;;Elsevier;
Revista De Salud Animal;;0253-570X;;;;QUA;;;;
Revista De Saude Publica;Rev Saude Publica;0034-8910;1518-8787;;;IRR;;;;
Revista De Tecnologia E Ambiente;;1413-8131;;;;SEM;;;;
Revista Del Clad Reforma Y Democracia;;1315-2378;;;;TRI;;;;
Revista Del Museo Argentino De Ciencias Naturales; Nueva Serie;1514-5158;;;;SEM;;;;
Revista Del Museo De La Plata Publicacion Tecnica Y Didactica;;0372-4565;;;;IRR;;;;
Revista Del Museo De La Plata Seccion Paleontologia;;0373-3823;;;;IRR;;;;
Revista Del Museo De La Plata Seccion Zoologia;;0372-4638;;;;IRR;;;;
Revista Do Instituto Adolfo Lutz;Rev Inst Adolfo Lutz;0073-9855;;;;SEM;;;;
Revista Do Instituto De Medicina Tropical De Sao Paulo;Rev Inst Med Trop Sao Paulo;0036-4665;1678-9946;;;BIM;;;;
Revista Do Instituto Geologico-Sao Paulo;;0100-929X;;;;SEM;;;;
Revista Espanola De Cardiologia;Rev Esp Cardiol;0300-8932;1579-2242;;;MON;;;;
Revista Espanola De Derecho Constitucional;;0211-5743;1989-0648;;;TRI;;;;
Revista Espanola De Documentacion Cientifica;Rev Esp Doc Cient;0210-0614;;;;QUA;;;;
Revista Espanola De Enfermedades Digestivas;Rev Esp Enferm Dig;1130-0108;;;;MON;;;;
Revista Espanola De Investigaciones Sociologicas;Rev Esp Invest Sociol;0210-5233;;;;QUA;;;;
Revista Espanola De Linguistica Aplicada;;0213-2028;1885-9089;;;ANN;;;;
Revista Espanola De Medicina Nuclear E Imagen Molecular;Rev Esp Med Nucl Imagen Mol;2253-654X;2253-8070;;;;;;Elsevier;
Revista Espanola De Micropaleontologia;;0556-655X;;;;TRI;;;;
Revista Espanola De Pedagogia;;0034-9461;;;;TRI;;;;
Revista Espanola De Quimioterapia;Rev Esp Quimioter;0214-3429;1988-9518;;;QUA;;;;
Revista Espanola De Salud Publica;Rev Esp Salud Publica;1135-5727;;;;BIM;;;;
Revista Facultad De Ciencias Basicas Universidad Militar Nueva Granada;;1900-4699;;;;ANN;;;;
Revista Fave Ciencias Veterinarias;Fave Secc Cienc Vet;1666-938X;;;;SEM;;;;
Revista Fitotecnia Mexicana;;0187-7380;;;;QUA;;;;
Revista Gaditana De Entomologia;;2172-2595;;;;SEM;;;;
Revista Geologica De America Central;;0256-7024;;;;SEM;;;;
Revista Iberica De Aracnologia;;1576-9518;;;;SEM;;;;
Revista Ibero-Latinoamericana De Parasitologia;;0718-8730;;;;SEM;;;;
Revista Iberoamericana;;0034-9631;;;;QUA;;;;
Revista Iberoamericana De Automatica E Informatica Industrial;;1697-7912;1697-7920;;;QUA;;;;
Revista Iberoamericana De Diagnostico Y Evaluacion-E Avaliacao Psicologica;;1135-3848;;;;SEM;;;;
Revista Iberoamericana De Micologia;Rev Iberoam Micol;1130-1406;2173-9188;;;QUA;;;;
Revista Internacional De Andrologia;;1698-031X;1698-0409;;;QUA;;;Elsevier;
Revista Internacional De Contaminacion Ambiental;;0188-4999;;;;QUA;;;;
Revista Internacional De Medicina Y Ciencias De La Actividad Fisica Y Del Deporte;;1577-0354;;;;QUA;;;;
Revista Internacional De Metodos Numericos Para Calculo Y Diseno En Ingenieria;;0213-1315;1886-158X;;;QUA;;;;
Revista Internacional De Sociologia;Rev Int Sociol;0034-9712;;;;TRI;;;;
Revista Latino-Americana De Enfermagem;Rev Lat Am Enfermagem;0104-1169;1518-8345;;;BIM;;;;
Revista Latinoamericana De Investigacion En Matematica Educativa-Relime;;1665-2436;;;;TRI;;;;
Revista Latinoamericana De Microbiologia;Rev Latinoam Microbiol (1958);0034-9771;;;;QUA;;;;
Revista Latinoamericana De Psicologia;Rev Latinoam Psicol;0120-0534;;;;TRI;;;;
Revista Matematica Complutense;;1139-1138;1988-2807;;;TRI;;;Springer;
Revista Matematica Iberoamericana;;0213-2230;;;;TRI;;;;
Revista Medica De Chile;Rev Med Chil;0034-9887;0717-6163;;;MON;;;;
Revista Mexicana De Astronomia Y Astrofisica;;0185-1101;;;;SEM;;;;
Revista Mexicana De Biodiversidad;Rev Mex Biodivers;1870-3453;;;;QUA;;;;
Revista Mexicana De Ciencias Farmaceuticas;Rev Mex Cienc Farm;1027-3956;;;;BIM;;;;
Revista Mexicana De Ciencias Geologicas;;1026-8774;;;;TRI;;;;
Revista Mexicana De Ciencias Pecuarias;;2007-1124;;;;QUA;;;;
Revista Mexicana De Fisica;;0035-001X;1870-3542;;;BIM;;;;
Revista Mexicana De Fitopatologia;Rev. Mex. Fitopatol.;0185-3309;;;;IRR;;;;
Revista Mexicana De Ingenieria Quimica;;1665-2738;;;;TRI;;;;
Revista Mexicana De Micologia;Rev Mex Micol;0187-3180;;;;ANN;;;;
Revista Mexicana De Psicologia;;0185-6073;;;;SEM;;;;
Revista Musical Chilena;;0716-2790;0717-6252;;;SEM;;;;
Revista Mvz Cordoba;;0122-0268;1909-0544;;;SEM;;;;
Revista Nicaraguense De Entomologia;;1021-0296;;;;QUA;;;;
Revista Pan-Amazonica De Saude;;2176-6215;;;;QUA;;;;
Revista Panamericana De Salud Publica-Pan American Journal Of Public Health;Rev Panam Salud Publica;1020-4989;1680-5348;;;MON;;;;
Revista Peruana De Biologia;Rev. Peru. Biol.;1561-0837;1727-9933;;;SEM;;;;
Revista Peruana De Entomologia;;0080-2425;;;;ANN;;;;
Revista Portuguesa De Cardiologia;Rev Port Cardiol;0870-2551;2174-2030;;;MON;;;Elsevier;
Revista Portuguesa De Ciencias Veterinarias;;0035-0389;;;;QUA;;;;
Revista Portuguesa De Farmacia;;0484-811X;;;;QUA;;;;
Revista Portuguesa De Pneumologia;Rev Port Pneumol;0873-2159;;;;BIM;;;Elsevier;
Revista Real Academia Galega De Ciencias;;1135-5417;;;;ANN;;;;
Revista Romana De Bioetica;Rev Rom Bioet;1583-5170;;;;QUA;;;;
Revista Romana De Materiale-Romanian Journal Of Materials;;1583-3186;;;;QUA;;;;
Revista Romana De Medicina De Laborator;;1841-6624;;;;QUA;;;;
Revista Signos;;0718-0934;0035-0451;;;TRI;;;;
Revista Universidade De Guarulhos Geociencias;;1981-7428;;;;ANN;;;;
Revista Universidade Rural-Serie Ciencias Da Vida;;0104-7264;;;;SEM;;;;
Revista Veterinaria-Corrientes;;1668-4834;1669-6840;;;SEM;;;;
Revolutionary Russia;;0954-6545;1743-7873;;;SEM;;;;
Revstat-Statistical Journal;Revstat Stat J;1645-6726;;;;TRI;;;;
Revue Arachnologique;;0398-4346;;;;IRR;;;;
Revue Belge De Philologie Et D Histoire;Rev Belge Philol Hist;0035-0818;;;;QUA;;;;
Revue Biblique;;0035-0907;;;;QUA;;;;
Revue D Ecologie-La Terre Et La Vie;;0249-7395;;;;QUA;;;;
Revue D Economie Politique;Rev Econ Polit;0373-2630;;;;BIM;;;;
Revue D Elevage Et De Medecine Veterinaire Des Pays Tropicaux;;0035-1865;;;;QUA;;;;
Revue D Epidemiologie Et De Sante Publique;Rev Epidemiol Sante Publique;0398-7620;;;;BIM;;;;
Revue D Etudes Comparatives Est-Ouest;Rev Etud Comp Est Ouest;0338-0599;;;;QUA;;;;
Revue D Histoire De L Amerique Francaise;Rev Hist Am Fr;0035-2357;;;;QUA;;;;
Revue D Histoire Des Mathematiques;;1262-022X;1777-568X;;;SEM;;;;
Revue D Histoire Des Sciences;Rev Hist Sci Paris;0151-4105;;;;SEM;;;;
Revue D Histoire Du Theatre;Rev Hist Theatre;1291-2530;;;;QUA;;;;
Revue D Histoire Ecclesiastique;Rev Hist Eccles;0035-2381;;;;QUA;;;;
Revue D Histoire Litteraire De La France;Rev Hist Litt Fr;0035-2411;;;;QUA;;;;
Revue D Histoire Moderne Et Contemporaine;Rev Hist Mod Contemp;0048-8003;;;;QUA;;;;
Revue De Geographie Alpine-Journal Of Alpine Research;Rev Geogr Alp;0035-1121;;;;QUA;;;;
Revue De L Art;;0035-1326;1953-812X;;;QUA;;;;
Revue De L Association Roussillonnaise D Entomologie;;1288-5509;;;;TRI;;;;
Revue De L Histoire Des Religions;Rev Hist Relig;0035-1423;;;;QUA;;;;
Revue De Linguistique Romane;;0035-1458;;;;SEM;;;;
Revue De Medecine Interne;Rev Med Interne;0248-8663;1768-3122;;;MON;;;Elsevier;
Revue De Medecine Veterinaire;;0035-1555;;;;MON;;;;
Revue De Metaphysique Et De Morale;Rev Metaphys Morale;0035-1571;;;;QUA;;;;
Revue De Micropaleontologie;Rev. Micropaleontol.;0035-1598;;;;QUA;;;Elsevier;
Revue De Musicologie;;0035-1601;1958-5632;;;SEM;;;;
Revue De Paleobiologie;;0253-6730;;;;SEM;;;;
Revue De Philologie De Litterature Et D Histoire Anciennes;Rev Philol Litt Hist Anc;0035-1652;;;;SEM;;;;
Revue De Phyllie;;1632-7705;;;;IRR;;;;
Revue De Pneumologie Clinique;Rev Pneumol Clin;0761-8417;;;;BIM;;;Elsevier;
Revue De Primatologie;;2077-3757;;;;SEM;;;;
Revue De Stomatologie De Chirurgie Maxillo-Faciale Et De Chirurgie Orale; De Chirurgie Maxillo-Faciale Et De Chirurgie Orale;2213-6533;2213-6541;;;BIM;;;Elsevier;
Revue De Synthese;Rev Synth;0035-1776;1955-2343;;;QUA;;;Springer;
Revue Des Etudes Italiennes;Rev Etud Ital;0035-2047;;;;SEM;;;;
Revue Des Etudes Juives;Rev Etud Juives;0484-8616;;;;SEM;;;;
Revue Des Langues Romanes;Rev Lang Rom;0223-3711;;;;SEM;;;;
Revue Des Maladies Respiratoires;Rev Mal Respir;0761-8425;1776-2588;;;MON;;;;
Revue Des Musees De France-Revue Du Louvre;;1962-4271;;;;BIM;;;;
Revue Des Sciences De L Education;Rev Sci Edu;0318-479X;;;;TRI;;;;
Revue Des Sciences Naturelles D Auvergne;;0373-2851;;;;ANN;;;;
Revue Des Sciences Philosophiques Et Theologiques;Rev Sci Philos Theol;0035-2209;;;;QUA;;;;
Revue Du Nord;Rev Nord;0035-2624;;;;QUA;;;;
Revue Forestiere Francaise-Nancy;;0035-2829;;;;BIM;;;;
Revue Francaise D Allergologie;;1877-0320;1877-0312;;;BIM;;;Elsevier;
Revue Francaise D Entomologie-Nouvelle Serie;;0181-0863;;;;QUA;;;;
Revue Francaise D Etudes Americaines;Rev Fr Etud Am;0397-7870;;;;QUA;;;;
Revue Francaise De Linguistique Appliquee;;1386-1204;;;;SEM;;;;
Revue Francaise De Sociologie;Rev Fr Sociol;0035-2969;;;;QUA;;;;
Revue Francaise Des Cichlidophiles;;0997-4806;;;;MON;;;;
Revue General De Droit;Rev Gen Droit;0035-3086;;;;QUA;;;;
Revue Historique;Rev Hist (Paris);0035-3264;;;;QUA;;;;
Revue Internationale De Philosophie;Rev Int Philos;0048-8143;;;;QUA;;;;
Revue Internationale De Psychologie Sociale-International Review Of Socialpsychology;;0992-986X;;;;QUA;;;;
Revue Internationale Des Services De Sante Des Forces Armees;Rev Int Serv Sante Forces Armees;0259-8582;;;;QUA;;;;
Revue Internationale Pme;;0776-5436;;;;QUA;;;;
Revue Neurologique;;0035-3787;;;;MON;;;;
Revue Philosophique De La France Et De L Etranger;;0035-3833;;;;QUA;;;;
Revue Philosophique De Louvain;Rev Philos Louv;0035-3841;;;;QUA;;;;
Revue Romane;;0035-3906;;;;SEM;;;;
Revue Roumaine De Chimie;;0035-3930;;;;MON;;;;
Revue Roumaine De Geologie Geophysique Et Geographie-Geophysique;;1220-529X;;;;ANN;;;;
Revue Roumaine De Linguistique-Romanian Review Of Linguistics;;0035-3957;0007-988X;;;QUA;;;;
Revue Roumaine De Philosophie;;1220-5400;;;;SEM;;;;
Revue Roumaine Des Sciences Techniques-Serie Electrotechnique Et Energetique;;0035-4066;;;;QUA;;;;
Revue Scientifique Du Bourbonnais Et Du Centre De La France;;0370-7164;;;;ANN;;;;
Revue Scientifique Et Technique-Office International Des Epizooties;Rev Sci Tech;0253-1933;1608-0637;;;TRI;;;;
Revue Suisse De Zoologie;Rev Suisse Zool;0035-418X;;;;QUA;;;;
Revue Theologique De Louvain;;0080-2654;1783-8401;;;QUA;;;;
Revue Valdotaine D Histoire Naturelle;;1120-1371;;;;ANN;;;;
Rheedea;Rheedea;0971-2313;;;;SEM;;;;
Rheologica Acta;;0035-4511;;;;BIM;;;Springer;
Rhetoric Review;;0735-0198;1532-7981;;;QUA;;;;
Rhetoric Society Quarterly;Rhetor Soc Q;0277-3945;;;;BIM;;;;
Rhetorica-A Journal Of The History Of Rhetoric;;0734-8584;1533-8541;;;QUA;;;;
Rheumatic Disease Clinics Of North America;Rheum Dis Clin North Am;0889-857X;1558-3163;;;QUA;;;Elsevier;
Rheumatology;Rheumatology (Oxford);1462-0324;1462-0332;;;MON;;;;
Rheumatology International;Rheumatol Int;0172-8172;1437-160X;;;TRI;;;Springer;
Rhinology;Rhinology;0300-0729;;;;QUA;;;;
Rhinolophe;;1011-8098;;;;ANN;;;;
Rhodora;Rhodora;0035-4902;;;;QUA;;;;
Ribarstvo;;1330-061X;;;;QUA;;;;
Rice;Rice (N Y);1939-8425;;;;IRR;;;Springer;
Ricerche Di Storia Dell Arte;;0392-7202;;;;TRI;;;;
Ride-The Journal Of Applied Theatre And Performance;;1356-9783;1470-112X;;;QUA;;;;
Riha Journal;;2190-3328;;;;IRR;;;;
Riista-Ja Kalatalous Tutkimuksia Ja Selvityksia;;1799-4764;;;;IRR;;;;
Rijksmuseum Bulletin;;1877-8127;;;;QUA;;;;
Rilce-Revista De Filologia Hispanica;;0213-2370;;;;SEM;;;;
Rinascimento;Rinascimento;0080-3073;;;;ANN;;;;
Ring;;0035-5429;;;;SEM;;;;
Ringing & Migration;;0307-8698;2159-8355;;;TRI;;;;
Rinkelbollen;;1383-925X;;;;TRI;;;;
Rishiri Studies;;0919-9160;;;;ANN;;;;
Risk Analysis;Risk Anal;0272-4332;1539-6924;;;MON;;;Wiley;
Risk Management-Journal Of Risk Crisis And Disaster;;1460-3799;1743-4637;;;QUA;;;;
River Research And Applications;River Res Appl;1535-1459;1535-1467;;;MON;;;Wiley;
River Systems;;1868-5749;;;;IRR;;;;
Riviera Scientifique;;0395-0395;;;;ANN;;;;
Rivista Del Museo Civico Di Scienze Naturali Enrico Caffi;;0393-8700;;;;IRR;;;;
Rivista Del Nuovo Cimento;;0393-697X;0029-6341;;;MON;;;;
Rivista Di Analisi E Teoria Musicale;;1724-238X;;;;SEM;;;;
Rivista Di Estetica;Riv Estet;0035-6212;;;;TRI;;;;
Rivista Di Filologia E Di Istruzione Classica;;0035-6220;;;;SEM;;;;
Rivista Di Filosofia Neo-Scolastica;Riv Filos Neo Scolast;0035-6247;;;;QUA;;;;
Rivista Di Idrobiologia;;0048-8399;;;;QUA;;;;
Rivista Di Letterature Moderne E Comparate;;0391-2108;;;;QUA;;;;
Rivista Di Linguistica;Riv Linguist;1120-2726;;;;SEM;;;;
Rivista Di Matematica Della Universita Di Parma;;0035-6298;;;;ANN;;;;
Rivista Di Parassitologia;Riv Parassitol;0035-6387;;;;TRI;;;;
Rivista Di Psichiatria;Riv Psichiatr;0035-6484;2038-2502;;;BIM;;;;
Rivista Di Scienza Dell Alimentazione;;1128-7969;;;;QUA;;;;
Rivista Di Storia Della Filosofia;Riv Stor Filos;0393-2516;;;;QUA;;;;
Rivista Di Storia E Letteratura Religiosa;;0035-6573;2035-7583;;;TRI;;;;
Rivista Italiana Delle Sostanze Grasse;;0035-6808;;;;QUA;;;;
Rivista Italiana Di Musicologia;;0035-6867;;;;SEM;;;;
Rivista Italiana Di Ornitologia;;0035-6875;;;;SEM;;;;
Rivista Italiana Di Paleontologia E Stratigrafia; Italiana Di Paleontologiia E Stratigrafia;0035-6883;;;;TRI;;;;
Rivista Piemontese Di Storia Naturale;;1121-1423;;;;ANN;;;;
Rivista Storica Dell Antichita;;0300-340X;;;;ANN;;;;
Rivista Storica Italiana;Riv Stor Ital;0035-7073;;;;TRI;;;;
Rla-Revista De Linguistica Teorica Y Aplicada; Revista De Linguistica Teorica Y Aplicada;0718-4883;0033-698X;;;SEM;;;;
Rlc-Revue De Litterature Comparee;;0035-1466;1965-0264;;;QUA;;;;
Rn Magazine;;0033-7021;;;;MON;;;;
Rna Biology;Rna Biol;1547-6286;1555-8584;;;MON;;;;
Rna-A Publication Of The Rna Society;Rna;1355-8382;1469-9001;;;MON;;;;
Road & Transport Research;;1037-5783;;;;QUA;;;;
Road Materials And Pavement Design;;1468-0629;2164-7402;;;QUA;;;;
Robotica;;0263-5747;1469-8668;;;BIM;;;;
Robotics And Autonomous Systems;Rob Auton Syst;0921-8890;;;;MON;;;Elsevier;
Robotics And Computer-Integrated Manufacturing;Robot Comput Integr Manuf;0736-5845;1879-2537;;;BIM;;;Elsevier;
Rock Art Research;;0813-0426;;;;SEM;;;;
Rock Mechanics And Rock Engineering;;0723-2632;;;;BIM;;;Springer;
Rocky Mountain Geology;;1555-7332;1555-7340;;;SEM;;;;
Rocky Mountain Journal Of Mathematics;;0035-7596;;;;BIM;;;;
Rocznik Helski;;1641-9189;;;;ANN;;;;
Rocznik Ochrona Srodowiska;;1506-218X;;;;ANN;;;;
Roczniki Pomorskiej Akademii Medycznej W Szczecinie;Ann Acad Med Stetin;1427-440X;;;;ANN;;;;
Rodentia;;1617-6170;;;;BIM;;;;
Rofo-Fortschritte Auf Dem Gebiet Der Rontgenstrahlen Und Der Bildgebenden Verfahren;Rofo;1438-9029;1438-9010;;;MON;;;;
Rohana Research Journal;;1391-0701;;;;SEM;;;;
Romance Notes;Roman Notes;0035-7995;;;;TRI;;;;
Romance Philology;;0035-8002;;;;SEM;;;;
Romance Quarterly;;0883-1157;1940-3216;;;QUA;;;;
Romance Studies;;0263-9904;1745-8153;;;QUA;;;;
Romani Studies;;1528-0748;1757-2274;;;SEM;;;;
Romanian Agricultural Research;;1222-4227;2067-5720;;;ANN;;;;
Romanian Biotechnological Letters;Rom Biotechnol Lett;1224-5984;;;;BIM;;;;
Romanian Journal Of Biochemistry;;1582-3318;;;;SEM;;;;
Romanian Journal Of Biology-Zoology;;1843-7761;;;;SEM;;;;
Romanian Journal Of Economic Forecasting;;1582-6163;;;;QUA;;;;
Romanian Journal Of Information Science And Technology;;1453-8245;;;;QUA;;;;
Romanian Journal Of Legal Medicine;;1221-8618;1844-8585;;;QUA;;;;
Romanian Journal Of Morphology And Embryology;Rom J Morphol Embryol;1220-0522;;;;QUA;;;;
Romanian Journal Of Physics;;1221-146X;;;;MON;;;;
Romanian Journal Of Political Science;;1582-456X;2068-7613;;;SEM;;;;
Romanian Reports In Physics;;1221-1451;1841-8759;;;QUA;;;;
Romanische Forschungen;;0035-8126;;;;QUA;;;;
Romanistische Zeitschrift Fur Literaturgeschichte-Cahiers D Histoire Des Litteratures Romanes;;0343-379X;;;;SEM;;;;
Romanticism;;1354-991X;;;;TRI;;;;
Romantisme;Romantisme;0048-8593;;;;QUA;;;;
Rosalia;;1787-825X;;;;IRR;;;;
Rossiiskaya Istoriya;Otechestvennaia Istor;0869-5687;;;;BIM;;;;
Rossiiskii Vestnik Perinatologii I Pediatrii;;1027-4065;;;;BIM;;;;
Rossiiskii Zhurnal Biologicheskikh Invasii;;1996-1499;;;;QUA;;;;
Rostaniha;Rustaniha;1608-4306;;;;SEM;;;;
Rostria;;0910-6839;;;;ANN;;;;
Rsc Advances;Rsc Adv;2046-2069;;;;;;;;
Rubber Chemistry And Technology;;0035-9475;;;;QUA;;;;
Rudolstaedter Naturhistorische Schriften;;0863-0844;;;;ANN;;;;
Rundschreiben Des Vereins Saechsischer Ornithologen;;1618-5897;;;;IRR;;;;
Rural And Remote Health;Rural Remote Health;1445-6354;;;;IRR;;;;
Rural History-Economy Society Culture; Society;0956-7933;;;;SEM;;;;
Rural Sociology;Rural Sociol;0036-0112;;;;QUA;;;Wiley;
Russell-The Journal Of The Bertrand Russell Studies;;0036-0163;;;;SEM;;;;
Russian Chemical Bulletin;;1066-5285;1573-9171;;;MON;;;Springer;
Russian Chemical Reviews;;0036-021X;1468-4837;;;MON;;;;
Russian Conservation News;;1026-6380;;;;QUA;;;;
Russian Entomological Journal;Russ. Entomol. J.;0132-8069;;;;QUA;;;;
Russian Geology And Geophysics;;1068-7971;;;;MON;;;Elsevier;
Russian History-Histoire Russe;Russ Hist (Pittsburgh);0094-288X;1876-3316;;;QUA;;;;
Russian Journal Of Applied Chemistry;;1070-4272;1608-3296;;;MON;;;Springer;
Russian Journal Of Bioorganic Chemistry;Russ. J. Bioorganic Chem.;1068-1620;;;;BIM;;;Springer;
Russian Journal Of Coordination Chemistry;;1070-3284;;;;MON;;;Springer;
Russian Journal Of Developmental Biology;Russ J Dev Biol;1062-3604;;;;BIM;;;Springer;
Russian Journal Of Ecology;;1067-4136;1608-3334;;;BIM;;;Springer;
Russian Journal Of Electrochemistry;;1023-1935;1608-3342;;;MON;;;Springer;
Russian Journal Of General Chemistry;;1070-3632;1608-3350;;;MON;;;Springer;
Russian Journal Of Genetics;Russ J Genet;1022-7954;1608-3369;;;MON;;;Springer;
Russian Journal Of Herpetology;Russ. J. Herpetol.;1026-2296;;;;TRI;;;;
Russian Journal Of Inorganic Chemistry;;0036-0236;;;;MON;;;Springer;
Russian Journal Of Marine Biology;Russ J Mar Biol;1063-0740;1608-3377;;;BIM;;;Springer;
Russian Journal Of Mathematical Physics;;1061-9208;;;;QUA;;;Springer;
Russian Journal Of Nematology;Russ. J. Nematol.;0869-6918;;;;SEM;;;;
Russian Journal Of Non-Ferrous Metals;;1067-8212;1934-970X;;;BIM;;;;
Russian Journal Of Nondestructive Testing;;1061-8309;1608-3385;;;MON;;;Springer;
Russian Journal Of Numerical Analysis And Mathematical Modelling;;0927-6467;1569-3988;;;BIM;;;;
Russian Journal Of Organic Chemistry;;1070-4280;1608-3393;;;MON;;;Springer;
Russian Journal Of Pacific Geology;;1819-7140;1819-7159;;;BIM;;;Springer;
Russian Journal Of Physical Chemistry A;;0036-0244;1531-863X;;;MON;;;Springer;
Russian Journal Of Physical Chemistry B;;1990-7931;1990-7923;;;BIM;;;Springer;
Russian Journal Of Plant Physiology;Russ J Plant Physiol;1021-4437;1608-3407;;;BIM;;;Springer;
Russian Journal Of Theriology;Russ. J. Theriol.;1682-3559;;;;SEM;;;;
Russian Linguistics;;0304-3487;1572-8714;;;TRI;;;Springer;
Russian Literature;;0304-3479;;;;BIM;;;Elsevier;
Russian Mathematical Surveys;;0036-0279;1468-4829;;;BIM;;;;
Russian Meteorology And Hydrology;;1068-3739;;;;MON;;;;
Russian Microelectronics;;1063-7397;1608-3415;;;BIM;;;Springer;
Russian Physics Journal;;1064-8887;1573-9228;;;MON;;;Springer;
Russian Review;;0036-0341;1467-9434;;;QUA;;;Wiley;
Russian Studies In Literature;;1061-1975;1944-7167;;;QUA;;;;
Russian Studies In Philosophy;;1061-1967;1558-0431;;;QUA;;;;
Russkaia Literatura;;0131-6095;;;;QUA;;;;
Rutgers Law Review;Rutgers Law Rev;0036-0465;;;;QUA;;;;
Ruthenica;;0136-0027;;;;SEM;;;;
Rutilans;;1292-7759;;;;TRI;;;;
Rybnoe Khozyaistvo;;0131-6184;;;;BIM;;;;
S C R O Annual Report;;1494-7617;;;;ANN;;;;
